i,Length_LCS,time
11720,2648,0.550000
11730,2646,0.469000
11740,2642,0.615000
11750,2633,0.627000
11760,2653,0.516000
11770,2664,0.563000
11780,2661,0.420000
11790,2657,0.582000
11800,2666,0.585000
11810,2659,0.638000
11820,2668,0.429000
11830,2665,0.574000
11840,2681,0.570000
11850,2675,0.594000
11860,2657,0.650000
11870,2671,0.590000
11880,2681,0.575000
11890,2683,0.572000
11900,2682,0.580000
11910,2700,0.611000
11920,2699,0.583000
11930,2701,0.471000
11940,2691,0.613000
11950,2709,0.590000
11960,2706,0.624000
11970,2703,0.678000
11980,2721,0.595000
11990,2706,0.566000
12000,2707,0.494000
12010,2705,0.591000
12020,2706,0.448000
12030,2727,0.521000
12040,2738,0.606000
12050,2740,0.568000
12060,2728,0.450000
12070,2731,0.700000
12080,2728,0.872000
12090,2709,0.722000
12100,2741,0.618000
12110,2726,0.627000
12120,2744,0.582000
12130,2744,0.635000
12140,2747,0.706000
12150,2737,0.558000
12160,2765,0.614000
12170,2743,0.540000
12180,2748,0.645000
12190,2746,0.544000
12200,2766,0.575000
12210,2753,0.489000
12220,2740,0.451000
12230,2757,0.513000
12240,2768,0.709000
12250,2768,0.451000
12260,2762,0.533000
12270,2770,0.614000
12280,2758,0.598000
12290,2792,0.639000
12300,2799,0.548000
12310,2768,0.627000
12320,2793,0.644000
12330,2781,0.633000
12340,2783,0.558000
12350,2790,0.601000
12360,2788,0.500000
12370,2798,0.658000
12380,2803,0.637000
12390,2785,0.565000
12400,2801,0.644000
12410,2814,0.646000
12420,2814,0.549000
12430,2813,0.630000
12440,2818,0.715000
12450,2836,0.597000
12460,2816,0.633000
12470,2819,0.619000
12480,2813,0.589000
12490,2822,0.641000
12500,2829,0.624000
12510,2839,0.743000
12520,2821,0.624000
12530,2820,0.644000
12540,2820,0.650000
12550,2837,0.657000
12560,2835,0.742000
12570,2831,0.666000
12580,2843,0.661000
12590,2830,0.549000
12600,2848,0.692000
12610,2819,0.746000
12620,2852,0.587000
12630,2846,0.542000
12640,2852,0.661000
12650,2856,0.648000
12660,2854,0.622000
12670,2858,0.749000
12680,2866,0.653000
12690,2843,0.669000
12700,2860,0.651000
12710,2867,0.547000
12720,2872,0.722000
