i,Length_LCS,time
12330,2790,1.649
12340,2776,1.571
12350,2783,1.479
12360,2784,1.513
12370,2785,1.575
12380,2796,1.492
12390,2801,1.461
12400,2810,1.561
12410,2803,1.518
12420,2792,1.575
12430,2787,1.54
12440,2805,1.519
12450,2816,1.519
12460,2807,1.461
12470,2824,1.492
12480,2821,1.621
12490,2821,1.836
12500,2818,1.643
12510,2829,1.644
12520,2830,1.661
12530,2843,1.54
12540,2819,1.509
12550,2833,1.486
12560,2827,1.556
12570,2851,1.588
12580,2860,1.48
12590,2836,1.528
12600,2843,1.558
12610,2861,1.619
12620,2852,1.549
12630,2850,1.532
12640,2867,1.554
12650,2871,1.618
12660,2845,1.593
12670,2871,1.575
12680,2872,1.513
12690,2856,1.544
12700,2863,1.647
12710,2872,1.638
12720,2881,1.601
12730,2871,1.67
12740,2891,1.636
12750,2877,1.734
12760,2887,1.562
12770,2873,1.619
12780,2900,1.763
12790,2887,1.73
12800,2883,1.695
12810,2891,1.782
12820,2876,1.605
12830,2896,1.649
12840,2899,1.724
12850,2920,1.765
12860,2909,1.576
12870,2889,1.621
12880,2901,1.57
12890,2905,1.608
12900,2921,1.683
12910,2933,1.751
12920,2917,1.521
12930,2929,1.618
12940,2942,1.73
12950,2931,1.644
12960,2930,1.519
12970,2923,1.541
12980,2933,1.714
12990,2929,1.716
13000,2926,1.636
13010,2945,1.653
13020,2935,1.605
13030,2950,1.703
13040,2936,1.536
13050,2944,1.818
13060,2952,1.626
13070,2946,1.672
13080,2956,1.666
13090,2944,1.667
13100,2964,1.621
13110,2960,1.636
13120,2968,1.712
13130,2973,1.7
13140,2994,1.745
13150,2972,1.701
13160,2971,1.661
13170,2981,1.669
13180,2973,1.667
13190,2976,1.666
13200,2968,1.956
13210,2987,1.686
13220,2978,1.748
13230,2980,1.701
13240,2984,1.794
13250,2990,1.91
13260,3009,1.778
13270,3005,1.687
13280,2992,1.622
13290,2989,1.685
13300,2998,1.717
13310,3016,1.734
13320,3030,1.668
13330,3012,1.7
13340,3004,1.811
13350,3004,1.762
13360,3015,1.682
13370,3017,1.799
13380,3033,1.684
13390,3021,1.701
13400,3017,1.848
13410,3022,1.728
13420,3017,1.592
13430,3045,1.741
13440,3030,1.752
13450,3035,1.714
13460,3053,1.671
13470,3030,1.775
13480,3046,1.798
13490,3031,1.805
13500,3036,1.699
13510,3044,1.716
13520,3045,1.654
13530,3061,1.715
13540,3055,1.76
13550,3062,1.805
13560,3067,1.842
13570,3061,1.702
13580,3069,1.813
13590,3070,1.892
13600,3070,1.877
13610,3088,1.663
13620,3082,1.731
13630,3070,1.856
13640,3078,1.859
13650,3103,1.811
13660,3078,1.771
13670,3095,1.802
13680,3094,1.833
13690,3096,1.826
13700,3091,1.776
13710,3088,1.742
13720,3086,1.792
13730,3107,1.795
13740,3111,1.972
13750,3101,1.746
13760,3133,1.877
13770,3127,1.781
13780,3103,1.797
13790,3105,1.86
13800,3113,1.736
13810,3115,1.823
13820,3126,1.704
13830,3145,1.971
13840,3114,1.902
13850,3116,1.749
13860,3130,1.814
13870,3139,1.847
13880,3132,2.183
13890,3146,1.806
13900,3166,1.902
13910,3150,2.189
13920,3140,1.958
13930,3168,1.852
13940,3151,1.804
13950,3147,1.813
13960,3142,1.923
13970,3147,1.901
13980,3152,1.883
13990,3164,1.845
14000,3169,1.685
14010,3180,1.83
14020,3175,1.779
14030,3160,1.821
14040,3162,1.921
14050,3184,1.763
14060,3177,1.971
14070,3168,1.987
14080,3194,1.941
14090,3185,1.938
14100,3189,1.938
14110,3195,1.825
14120,3187,2.014
14130,3188,1.888
14140,3175,1.879
14150,3200,1.95
14160,3206,2.096
14170,3195,1.777
14180,3198,1.94
14190,3204,1.882
14200,3196,1.845
14210,3219,1.965
14220,3203,1.888
14230,3215,1.927
14240,3223,1.92
14250,3229,2.049
14260,3223,1.922
14270,3226,1.923
14280,3226,1.877
14290,3229,2.006
14300,3220,2.021
14310,3229,1.95
14320,3207,2.005
14330,3246,1.951
14340,3237,1.961
14350,3252,2.354
14360,3240,2.222
14370,3256,2.05
14380,3254,2.04
14390,3251,2.24
14400,3265,2.126
14410,3236,1.858
14420,3264,2.154
14430,3240,2.165
14440,3282,2.161
14450,3273,1.91
14460,3256,2.017
14470,3255,1.98
14480,3277,2.063
14490,3265,2.035
14500,3267,1.956
14510,3280,2.109
14520,3295,2.108
14530,3275,2.129
14540,3288,2.009
14550,3270,2.015
14560,3297,2.081
